day,state_Y,state_N,state_A,state_C,state_B,control_uC,control_uA,control_uF,control_control_mode,control_arm_name,param_NA_eff,param_lambda_eff,param_k1,param_delta_Y_min
16,0.9801234297904643,0.9633226311121929,0.8499053647030009,-0.04000000000000001,0.06562603489819709,0.0,0.1,0.0,fluctuation,identity,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
17,0.9805632563245517,0.9667707561546646,0.8649148282327008,-0.06000000000000001,0.06393822442873795,0.0,0.1,0.0,fluctuation,identity,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
18,0.981805123858899,0.9697776296955114,0.8784233454094308,-0.08000000000000002,0.07923373299247823,0.0,0.1,0.1373081324363472,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
19,0.9799089331305635,0.9718038903825219,0.8905810108684877,-0.10000000000000002,0.07346361309473476,0.0,0.1,0.0,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
20,0.9800297929400278,0.9734490708940231,0.901522909781639,-0.12000000000000002,0.06942452916631432,0.0,0.1,0.0,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
21,0.9796911848604125,0.974697493687301,0.911370618803475,-0.14,0.06659717041642002,0.0,0.1,0.0,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
22,0.9794142080923586,0.9756408365683125,0.9202335569231275,-0.16,0.06461801929149401,0.0,0.1,0.0,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
23,0.9798207759108123,0.9764768244368125,0.9282102012308148,-0.18,0.08243546404076431,0.0,0.1,0.1600237544726542,fluctuation,identity,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
24,0.9776213252226672,0.9767057245939835,0.9353891811077333,-0.19999999999999998,0.07570482482853501,0.0,0.1,0.0,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
25,0.9775136727036212,0.9768673142159112,0.94185026299696,-0.21999999999999997,0.0709933773799745,0.0,0.1,0.0,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
26,0.9773087226249065,0.9769555958977103,0.947665236697264,-0.23999999999999996,0.06769536416598215,0.0,0.1,0.0,fluctuation,identity,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
27,0.9769787856156825,0.9769602338413048,0.9528987130275376,-0.25999999999999995,0.0653867549161875,0.0,0.1,0.0,fluctuation,identity,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
28,0.9780408014980355,0.977176347372651,0.9576088417247838,-0.27999999999999997,0.08456398898234971,0.0,0.1,0.1732771711751538,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
29,0.9754624829999059,0.976833574498102,0.9618479575523053,-0.3,0.0771947922876448,0.0,0.1,0.0,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
30,0.9741294856910171,0.9762927567366851,0.9656631617970748,-0.32,0.07203635460135135,0.0,0.1,0.0,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
31,0.9736418752907381,0.9757625804474959,0.9690968456173673,-0.34,0.06842544822094594,0.0,0.1,0.0,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
32,0.9728823152088198,0.9751865273997607,0.9721871610556305,-0.36000000000000004,0.06589781375466215,0.0,0.1,0.0,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
33,0.9742606068889762,0.9750013432976039,0.9749684449500675,-0.38000000000000006,0.08585054211410303,0.0,0.1,0.1810172707153295,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
34,0.9702881955007463,0.9740587137382325,0.9774716004550608,-0.4000000000000001,0.07809537947987212,0.0,0.1,0.0,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
35,0.9701315826591701,0.97327328752242,0.9797244404095546,-0.4200000000000001,0.07266676563591049,0.0,0.1,0.0,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
36,0.9693091321971453,0.9724804564573651,0.9817519963685992,-0.4400000000000001,0.06886673594513734,0.0,0.1,0.0,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
37,0.9677041363563268,0.9715251924371575,0.9835767967317393,-0.46000000000000013,0.06620671516159614,0.0,0.1,0.0,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
38,0.9701641296102724,0.9712529798717806,0.9852191170585654,-0.48000000000000015,0.08661463450456189,0.0,0.1,0.18558278242870493,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
39,0.9656004700482228,0.9701224779070691,0.9866972053527088,-0.5000000000000001,0.07863024415319332,0.0,0.1,0.0,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
40,0.9637140805051476,0.9688407984266848,0.9880274848174379,-0.5200000000000001,0.07304117090723532,0.0,0.1,0.0,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
41,0.9606825495650272,0.9672091486543534,0.9892247363356941,-0.5400000000000001,0.06912881963506472,0.0,0.1,0.0,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
42,0.9603732806418825,0.9658419750518592,0.9903022627021246,-0.5600000000000002,0.0663901737445453,0.0,0.1,0.0,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
43,0.9624019498601533,0.9651539700135181,0.9912720364319122,-0.5800000000000002,0.08705744360785722,0.0,0.1,0.18820268322229597,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
44,0.9564830347336182,0.9634197829575382,0.992144832788721,-0.6000000000000002,0.07894021052550004,0.0,0.1,0.0,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
45,0.9549385402265572,0.961723534411342,0.9929303495098489,-0.6200000000000002,0.07325814736785002,0.0,0.1,0.0,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
46,0.9534517390501385,0.9600691753391013,0.9936373145588641,-0.6400000000000002,0.06928070315749502,0.0,0.1,0.0,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
47,0.9524299298732177,0.9585413262459246,0.9942735831029776,-0.6600000000000003,0.0664964922102465,0.0,0.1,0.0,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
48,0.9526125060908107,0.9573555622149019,0.9948462247926799,-0.6800000000000003,0.08732434433561218,0.0,0.1,0.18980666490366355,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
49,0.9465513729205598,0.9551947243560336,0.995361602313412,-0.7000000000000003,0.07912704103492851,0.0,0.1,0.0,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
50,0.9452672179366937,0.9532092230721657,0.9958254420820708,-0.7200000000000003,0.07338892872444995,0.0,0.1,0.0,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
51,0.9433293472314406,0.9512332479040208,0.9962428978738637,-0.7400000000000003,0.06937225010711497,0.0,0.1,0.0,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
52,0.9412160481698689,0.9492298079571905,0.9966186080864773,-0.7600000000000003,0.06656057507498048,0.0,0.1,0.0,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
53,0.9456836746787426,0.948520581301501,0.9969567472778296,-0.7800000000000004,0.08747902451415132,0.0,0.1,0.19072184968054154,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
54,0.9340588357788336,0.9456282321969676,0.9972610725500466,-0.8000000000000004,0.07923531715990592,0.0,0.1,0.0,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
55,0.9310692859428522,0.9427164429461445,0.9975349652950419,-0.8200000000000004,0.07346472201193414,0.0,0.1,0.0,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
56,0.9276639208742251,0.9397059385317608,0.9977814687655377,-0.8400000000000004,0.0694253054083539,0.0,0.1,0.0,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
57,0.9256307219072711,0.9368908952068629,0.998003321888984,-0.8600000000000004,0.06659771378584772,0.0,0.1,0.0,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
58,0.9320077840496307,0.9359142729754164,0.9982029897000856,-0.8800000000000004,0.08755193531518704,0.0,0.1,0.19111279720911362,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
59,0.9170925973828268,0.9321499378568986,0.998382690730077,-0.9000000000000005,0.07928635472063092,0.0,0.1,0.0,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
60,0.9160447950452139,0.9289289092945617,0.9985444216570694,-0.9200000000000005,0.07350044830444163,0.0,0.1,0.0,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
61,0.9118779620460332,0.9255187198448561,0.9986899794913624,-0.9400000000000005,0.06945031381310914,0.0,0.1,0.0,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
62,0.9073502279128022,0.9218850214584453,0.9988209815422262,-0.9600000000000005,0.06661521966917638,0.0,0.1,0.0,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
63,0.9096258519696075,0.9194331875606778,0.9989388833880036,-0.9800000000000005,0.0875958702900819,0.0,0.1,0.19137680434715362,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
